time,x,y,z,norm
1559743410363,-0.5931854248046875,4.0863494873046875,7.2492523193359375,8.34276814192948
1559743410364,-0.8733062744140625,4.019317626953125,7.198974609375,8.29112859999729
1559743410364,-1.055267333984375,3.9642486572265625,7.129547119140625,8.225527258877905
1559743410365,-1.1534271240234375,3.8493194580078125,7.141510009765625,8.194438335835663
1559743410366,-1.222869873046875,3.78228759765625,7.277984619140625,8.292778202402225
1559743410367,-1.1630096435546875,3.7966461181640625,7.4336090087890625,8.427672043519571
1559743410395,-0.9882354736328125,3.8660888671875,7.7041473388671875,8.67623989406193
1559743410396,-0.8134613037109375,3.978607177734375,8.247634887695312,9.193177666513547
1559743410396,-0.626708984375,3.97381591796875,8.968292236328125,9.829254434451348
1559743410397,-0.4327850341796875,3.9498748779296875,9.91400146484375,10.680647896173435
1559743410398,-0.241241455078125,3.91876220703125,10.852523803710938,11.540891108792993
1559743410398,0.0316925048828125,3.870880126953125,11.7742919921875,12.394299870884078
1559743410405,0.266326904296875,3.8062286376953125,12.58831787109375,13.153860774923176
1559743410406,0.445892333984375,3.7176361083984375,13.261093139648438,13.779558391559751
1559743410409,0.5751800537109375,3.6099090576171875,13.7303466796875,14.208613424358447
1559743410412,0.6493988037109375,3.46624755859375,14.0775146484375,14.512512174695694
1559743410417,0.603912353515625,3.3369598388671875,14.38397216796875,14.778317442315311
1559743410426,0.4650421142578125,3.2148590087890625,14.5228271484375,14.881669630717477
1559743410430,0.2902679443359375,3.1143035888671875,14.518051147460938,14.851159935958938
1559743410432,0.074798583984375,3.05206298828125,14.355239868164062,14.676293639237711
1559743410463,-0.1023712158203125,3.0352935791015625,14.218765258789062,14.539490103222688
1559743410464,-0.229278564453125,3.054443359375,14.005691528320312,14.336721664390751
1559743410464,-0.377716064453125,3.13824462890625,13.704010009765625,14.06382377321194
1559743410464,-0.49981689453125,3.226837158203125,13.390380859375,13.782764400973255
1559743410464,-0.5620574951171875,3.3034515380859375,13.076736450195312,13.499249493218741
1559743410465,-0.6338958740234375,3.3106231689453125,12.913925170898438,13.346591814595428
1559743410467,-0.75360107421875,3.2244415283203125,12.801406860351562,13.222743866266045
1559743410473,-0.8876800537109375,3.1143035888671875,12.837310791015625,13.239464153299918
1559743410480,-0.8948516845703125,3.02093505859375,12.839706420898438,13.220622872636513
1559743410484,-0.8254241943359375,2.9227752685546875,12.9259033203125,13.27791086794665
1559743410511,-0.5955810546875,2.8222198486328125,13.1485595703125,13.461213186068191
1559743410512,-0.3058929443359375,2.74798583984375,13.397552490234375,13.67989069393325
1559743410512,-0.0209808349609375,2.6809539794921875,13.5819091796875,13.843995499886232
1559743410512,0.2088623046875,2.5971527099609375,13.694442749023438,13.940107168435164
1559743410513,0.37646484375,2.4798431396484375,13.668106079101562,13.896347418131652
1559743410513,0.445892333984375,2.3218231201171875,13.586700439453125,13.790870581875986
1559743410531,0.4937744140625,2.1997222900390625,13.390380859375,13.578839821000681
1559743410531,0.3956146240234375,2.1255035400390625,12.985763549804688,13.164510290963953
1559743410531,0.30224609375,2.1063385009765625,12.573959350585938,12.752743560978196
1559743410535,0.165771484375,2.0943756103515625,12.2076416015625,12.387106314812463
1559743410538,-0.0377349853515625,2.012969970703125,11.803024291992188,11.973506356511852
1559743410566,-0.21490478515625,2.0081787109375,11.374465942382812,11.552378165389678
1559743410567,-0.389678955078125,1.9794464111328125,10.979415893554688,11.163226735412062
1559743410567,-0.547698974609375,1.9890289306640625,10.605926513671875,10.804715982718603
1559743410567,-0.6769866943359375,2.0034027099609375,10.282699584960938,10.497897130241968
1559743410567,-0.7607879638671875,2.0680389404296875,9.942733764648438,10.183984392160998
1559743410567,-0.854156494140625,2.1470489501953125,9.56683349609375,9.841936072389354
1559743410573,-0.9355621337890625,2.276336669921875,9.222076416015625,9.544824700529736
1559743410576,-1.0576629638671875,2.4391326904296875,8.884490966796875,9.273737055025572
1559743410581,-1.1989288330078125,2.530120849609375,8.637893676757812,9.080316571090357
1559743410588,-1.383270263671875,2.6234893798828125,8.420013427734375,8.927080108968662
1559743410602,-1.4910125732421875,2.709686279296875,8.20452880859375,8.768113320254296
1559743410603,-1.5867767333984375,2.7551727294921875,8.0345458984375,8.640761827818825
1559743410603,-1.6274871826171875,2.7503814697265625,7.93878173828125,8.557895082709669
1559743410626,-1.6107177734375,2.757568359375,7.890899658203125,8.512631345131997
1559743410626,-1.5053863525390625,2.7144775390625,7.89569091796875,8.48389718540836
1559743410626,-1.3473663330078125,2.6450347900390625,7.9890594482421875,8.522715291700624
1559743410626,-1.1318817138671875,2.546875,8.113555908203125,8.578899577180616
1559743410626,-0.9523162841796875,2.4535064697265625,8.137496948242188,8.552511729588847
1559743410631,-0.789520263671875,2.37689208984375,8.151870727539062,8.527951372517231
1559743410636,-0.609954833984375,2.2835235595703125,8.190170288085938,8.524401098872534
1559743410643,-0.4351654052734375,2.2787322998046875,8.166229248046875,8.489363342193347
1559743410648,-0.250823974609375,2.25958251953125,8.175811767578125,8.48601931930861
1559743410650,-0.1023712158203125,2.245208740234375,8.197357177734375,8.499888637647357
1559743410655,-0.0066070556640625,2.2116851806640625,8.288330078125,8.57834543927354
1559743410674,0.002960205078125,2.1733856201171875,8.302703857421875,8.582453329939776
1559743410674,0.0197296142578125,2.1326751708984375,8.211715698242188,8.484159790515653
1559743410674,-0.018585205078125,2.1374664306640625,8.027359008789062,8.307081365199842
1559743410675,-0.0113983154296875,2.1685943603515625,7.8932952880859375,8.18578291467975
1559743410681,-0.040130615234375,2.1590118408203125,7.7831573486328125,8.077157972248553
